"utterance","episode_name","season","episode_number","character"
"Yo, hey, guys.","Chapter One The Vanishing of Will Byers","1","1","Dustin"
"Does anyone want this?","Chapter One The Vanishing of Will Byers","1","1",NA
"BOTH: No.","Chapter One The Vanishing of Will Byers","1","1",NA
"Yeah.","Chapter One The Vanishing of Will Byers","1","1","Nancy"
"No, I don’t think...","Chapter One The Vanishing of Will Byers","1","1",NA
"Yeah, he’s cute.","Chapter One The Vanishing of Will Byers","1","1",NA
"Barb, no, I don’t think so.","Chapter One The Vanishing of Will Byers","1","1",NA
"Barb, you’re not—","Chapter One The Vanishing of Will Byers","1","1",NA
"Hey, Nancy.","Chapter One The Vanishing of Will Byers","1","1",NA
"There’s a slice left if you want it.","Chapter One The Vanishing of Will Byers","1","1",NA
"Sausage and pepperoni!","Chapter One The Vanishing of Will Byers","1","1",NA
"Hold on.","Chapter One The Vanishing of Will Byers","1","1",NA
"There’s something wrong with your sister.","Chapter One The Vanishing of Will Byers","1","1",NA
"What are you talking about?","Chapter One The Vanishing of Will Byers","1","1",NA
"She’s got a stick up her butt.","Chapter One The Vanishing of Will Byers","1","1",NA
"LUCAS: Yeah.","Chapter One The Vanishing of Will Byers","1","1",NA
"It’s because she’s been dating that douchebag, Steve Harrington.","Chapter One The Vanishing of Will Byers","1","1",NA
"Yeah, she’s turning into a real jerk.","Chapter One The Vanishing of Will Byers","1","1","Dustin"
"She’s always been a real jerk.","Chapter One The Vanishing of Will Byers","1","1",NA
"Nuh-uh, she used to be cool.","Chapter One The Vanishing of Will Byers","1","1",NA
"Like that time she dressed up as an elf for our Elder tree campaign.","Chapter One The Vanishing of Will Byers","1","1",NA
"Four years ago!","Chapter One The Vanishing of Will Byers","1","1","Mike"
"Just saying. LUCAS: Later.","Chapter One The Vanishing of Will Byers","1","1","Dustin"
"It was a seven.","Chapter One The Vanishing of Will Byers","1","1",NA
"Huh?","Chapter One The Vanishing of Will Byers","1","1",NA
"The roll, it was a seven.","Chapter One The Vanishing of Will Byers","1","1",NA
"The Demogorgon, it got me.","Chapter One The Vanishing of Will Byers","1","1",NA
"[GRUNTS] See you tomorrow.","Chapter One The Vanishing of Will Byers","1","1",NA
"Good night, ladies. DUSTIN: Kiss your mom ’night for me.","Chapter One The Vanishing of Will Byers","1","1","Lucas"
"Race you back to my place? Winner gets a comic.","Chapter One The Vanishing of Will Byers","1","1",NA
"Any comic?","Chapter One The Vanishing of Will Byers","1","1",NA
"Yeah.","Chapter One The Vanishing of Will Byers","1","1",NA
"Hey! Hey!","Chapter One The Vanishing of Will Byers","1","1","Dustin"
"I didn’t say “go”!","Chapter One The Vanishing of Will Byers","1","1",NA
"Get back here!","Chapter One The Vanishing of Will Byers","1","1",NA
"I’m gonna kill you!","Chapter One The Vanishing of Will Byers","1","1",NA
"I’ll take your X-Men 134!","Chapter One The Vanishing of Will Byers","1","1","Will"
"Son of a bitch.","Chapter One The Vanishing of Will Byers","1","1",NA
"[GASPS]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[GRUNTS]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[WHIMPERS]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[INDISTINCT GROWLING]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[GASPS]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[WILL PANTING]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[DOG BARKING]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"Mom?","Chapter One The Vanishing of Will Byers","1","1",NA
"Jonathan? Mom?","Chapter One The Vanishing of Will Byers","1","1",NA
"[BARKING CONTINUES]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[INDISTINCT SCREECHING]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[LINE RINGING]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"Hello? Hello?","Chapter One The Vanishing of Will Byers","1","1",NA
"[STATIC CRACKLING]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[INDISTINCT SCREECHING]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[BARKING]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[WHIMPERING]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[GROWLING]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[DIAL TONE]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[BARKING CONTINUES]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[PANTING]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[BREATHING SHAKILY]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
"[GROWLING]","Chapter One The Vanishing of Will Byers","1","1","Scene Description"
