"utterance","episode_name","season","episode_number","character"
"I couldn't get him out of my head.","Chapter Three The Pollywog","2","3",NA
"Every night, he would come to me in my dreams.","Chapter Three The Pollywog","2","3",NA
"And every night when he came to me...","Chapter Three The Pollywog","2","3",NA
"I ran.","Chapter Three The Pollywog","2","3",NA
"[SIGHS] It got so bad that I made my mom stay in the room with me","Chapter Three The Pollywog","2","3",NA
"until I could fall asleep every night.","Chapter Three The Pollywog","2","3",NA
"Really?","Chapter Three The Pollywog","2","3",NA
"Really.","Chapter Three The Pollywog","2","3",NA
"It went on like that for months.","Chapter Three The Pollywog","2","3",NA
"And then one day, the nightmares suddenly stopped.","Chapter Three The Pollywog","2","3",NA
"Wanna know how?","Chapter Three The Pollywog","2","3",NA
"How?","Chapter Three The Pollywog","2","3",NA
"Well, I fell asleep...","Chapter Three The Pollywog","2","3",NA
"and just like always, Mr. Baldo came to me.","Chapter Three The Pollywog","2","3",NA
"Only this time, I didn't run.","Chapter Three The Pollywog","2","3",NA
"This time, I stood my ground.","Chapter Three The Pollywog","2","3",NA
"I just looked at Mr. Baldo","Chapter Three The Pollywog","2","3",NA
"in his stupid face, and I said, ""Go away. Go away!""","Chapter Three The Pollywog","2","3",NA
"Just like that, he was gone.","Chapter Three The Pollywog","2","3",NA
"Never saw him again.","Chapter Three The Pollywog","2","3",NA
"Easy-peasy, right?","Chapter Three The Pollywog","2","3",NA
"Easy-peasy.","Chapter Three The Pollywog","2","3",NA
"Just like that.","Chapter Three The Pollywog","2","3",NA
"I still don't get why they call him zombie boy.","Chapter Three The Pollywog","2","3",NA
"I mean, I get it. He got lost in the woods for a week or something,","Chapter Three The Pollywog","2","3",NA
"but why is he a zombie? Because everyone thought he was dead?","Chapter Three The Pollywog","2","3",NA
"Yeah. I mean, we had a funeral for him and everything.","Chapter Three The Pollywog","2","3",NA
"After a week?","Chapter Three The Pollywog","2","3",NA
"Well, see, some other kid drowned at the quarry.","Chapter Three The Pollywog","2","3",NA
"We thought it was Will because his body was super decomposed.","Chapter Three The Pollywog","2","3",NA
"What?","Chapter Three The Pollywog","2","3",NA
"Okay, that's not funny.","Chapter Three The Pollywog","2","3",NA
"It's not a joke, all right? It's public knowledge.","Chapter Three The Pollywog","2","3",NA
"You can ask anybody.","Chapter Three The Pollywog","2","3",NA
"Except Will, because he is really sensitive about it.","Chapter Three The Pollywog","2","3",NA
"All right?","Chapter Three The Pollywog","2","3",NA
"Okay.","Chapter Three The Pollywog","2","3",NA
"[BOB] Have a great day, kiddo.","Chapter Three The Pollywog","2","3",NA
"[MR. CLARKE] The case of Phineas Gage","Chapter Three The Pollywog","2","3",NA
"is one of the great medical curiosities of all time.","Chapter Three The Pollywog","2","3",NA
"Phineas was a railroad worker in 1848 who had a nightmarish accident.","Chapter Three The Pollywog","2","3",NA
"A large iron rod was driven completely through his head.","Chapter Three The Pollywog","2","3",NA
"Phineas miraculously survived. He seemed fine.","Chapter Three The Pollywog","2","3",NA
"And physically, yes, he was.","Chapter Three The Pollywog","2","3",NA
"But his injury resulted in a complete change to his personality.","Chapter Three The Pollywog","2","3",NA
"So much so that friends that knew him","Chapter Three The Pollywog","2","3",NA
"started referring to him as ""No longer Gage.""","Chapter Three The Pollywog","2","3",NA
"At the time, this was known as the American Crowbar Case.","Chapter Three The Pollywog","2","3",NA
"Although it wasn't a...","Chapter Three The Pollywog","2","3",NA
"[PANTING] I am so sorry, Mr. Clarke.","Chapter Three The Pollywog","2","3",NA
"Really, I'm so sorry. Please continue with the class.","Chapter Three The Pollywog","2","3",NA
"Don't mind me.","Chapter Three The Pollywog","2","3",NA
"Really, continue, please. Thanks.","Chapter Three The Pollywog","2","3",NA
"Although it wasn't a crowbar, it was a rod, as I said.","Chapter Three The Pollywog","2","3",NA
"[SOFTLY] We have to meet. All of us. At lunch, AV Club.","Chapter Three The Pollywog","2","3",NA
"Why?","Chapter Three The Pollywog","2","3",NA
"I have something that you won't believe.","Chapter Three The Pollywog","2","3",NA
"AV Club. Lunch.","Chapter Three The Pollywog","2","3",NA
"Dustin!","Chapter Three The Pollywog","2","3",NA
"Yes, my lord?","Chapter Three The Pollywog","2","3",NA
"Would you care to join the class now?","Chapter Three The Pollywog","2","3",NA
"Please, yes.","Chapter Three The Pollywog","2","3",NA
"The case of Phineas Gage.","Chapter Three The Pollywog","2","3",NA
"Phineas Gage.","Chapter Three The Pollywog","2","3",NA
"[MR. CLARKE] Page 104.","Chapter Three The Pollywog","2","3",NA
"[DUSTIN] 104. 104.","Chapter Three The Pollywog","2","3",NA
"[MR. CLARKE] Focus.","Chapter Three The Pollywog","2","3",NA
"Focusing. Focusing.","Chapter Three The Pollywog","2","3",NA
"[SOFTLY] AV Club.","Chapter Three The Pollywog","2","3",NA
"And he began to curse, using terrible words","Chapter Three The Pollywog","2","3",NA
"that I don't dare repeat here.","Chapter Three The Pollywog","2","3",NA
"[D'ARTAGNAN CHITTERING]","Chapter Three The Pollywog","2","3","Scene Description"
"[POWELL] And we found some more by Gilbert's farm.","Chapter Three The Pollywog","2","3",NA
"[CALLAHAN] Some real nasty stuff.","Chapter Three The Pollywog","2","3",NA
"It was sticky.","Chapter Three The Pollywog","2","3",NA
"All right. Where else?","Chapter Three The Pollywog","2","3",NA
"That was it, Chief.","Chapter Three The Pollywog","2","3",NA
"That was it, or you get tired of looking?","Chapter Three The Pollywog","2","3",NA
"It was getting dark.","Chapter Three The Pollywog","2","3",NA
"I mean, it was really dark.","Chapter Three The Pollywog","2","3",NA
"They're called flashlights, you dipshits.","Chapter Three The Pollywog","2","3",NA
"Oh, okay. Someone woke up on the","Chapter Three The Pollywog","2","3",NA
"wrong side of the bed this morning.","Chapter Three The Pollywog","2","3",NA
"[POWELL] More lady problems, Chief?","Chapter Three The Pollywog","2","3",NA
"Hey, Chief! Where you going?","Chapter Three The Pollywog","2","3",NA
"You want us to go back out there?","Chapter Three The Pollywog","2","3",NA
"Why's he gotta kick the door?","Chapter Three The Pollywog","2","3",NA
"Hey, Chief!","Chapter Three The Pollywog","2","3",NA
"[SIGHS]","Chapter Three The Pollywog","2","3","Scene Description"
"[SIGHS]","Chapter Three The Pollywog","2","3","Scene Description"
"[HOPPER] My granddad used to live here.","Chapter Three The Pollywog","2","3",NA
"Long time ago.","Chapter Three The Pollywog","2","3",NA
"I mainly just use it for storage now.","Chapter Three The Pollywog","2","3",NA
"Lot of history here.","Chapter Three The Pollywog","2","3",NA
"So, uh... what do you think?","Chapter Three The Pollywog","2","3",NA
"It's a work-in-progress. You know, it's, uh...","Chapter Three The Pollywog","2","3",NA
"It takes a little imagination, but, uh...","Chapter Three The Pollywog","2","3",NA
"once we fix it up, it's gonna be nice.","Chapter Three The Pollywog","2","3",NA
"Real nice.","Chapter Three The Pollywog","2","3",NA
"This is your new home.","Chapter Three The Pollywog","2","3",NA
"Home.","Chapter Three The Pollywog","2","3",NA
"[HOPPER SIGHS]","Chapter Three The Pollywog","2","3","Scene Description"
"Oh, yeah.","Chapter Three The Pollywog","2","3",NA
"Yeah, yeah.","Chapter Three The Pollywog","2","3",NA
"All right, this...","Chapter Three The Pollywog","2","3",NA
"this is music.","Chapter Three The Pollywog","2","3",NA
"[""YOU DON'T MESS AROUND WITH JIM"" PLAYING]","Chapter Three The Pollywog","2","3","Scene Description"
"♪ Uptown got its hustlers The bowery got its bums ♪","Chapter Three The Pollywog","2","3",NA
"♪ 42nd Street got Big Jim Walker ♪","Chapter Three The Pollywog","2","3",NA
"All right. [CLAPS] Let's get to work.","Chapter Three The Pollywog","2","3",NA
"♪ He's a pool-shootin' son of a gun ♪","Chapter Three The Pollywog","2","3",NA
"♪ Yeah, he's big and dumb As a man can come ♪","Chapter Three The Pollywog","2","3",NA
"♪ But he's stronger than a country hoss ♪","Chapter Three The Pollywog","2","3",NA
"♪ And when the bad folks All get together at night ♪","Chapter Three The Pollywog","2","3",NA
"♪ You know they all call big Jim ""boss"" Just because ♪","Chapter Three The Pollywog","2","3",NA
"♪ And they say You don't tug on Superman's cape ♪","Chapter Three The Pollywog","2","3",NA
"♪ You don't spit into the wind ♪","Chapter Three The Pollywog","2","3",NA
"♪ You don't pull the mask Off that old Lone Ranger ♪","Chapter Three The Pollywog","2","3",NA
"♪ And you don't mess around with Jim ♪","Chapter Three The Pollywog","2","3",NA
"[STATIC CRACKLING]","Chapter Three The Pollywog","2","3","Scene Description"
"♪ Well, outta South Alabama Come a country boy ♪","Chapter Three The Pollywog","2","3",NA
"♪ He said ""I'm lookin' for a man named Jim ♪","Chapter Three The Pollywog","2","3",NA
"♪ I am a pool-shootin' boy My name is Willie McCoy ♪","Chapter Three The Pollywog","2","3",NA
"♪ But down home they call me Slim ♪","Chapter Three The Pollywog","2","3",NA
"♪ Yeah, I'm lookin' for The king of 42nd Street ♪","Chapter Three The Pollywog","2","3",NA
"♪ He drivin' a drop top Cadillac ♪","Chapter Three The Pollywog","2","3",NA
"♪ Last week, he took all my money And it may sound funny ♪","Chapter Three The Pollywog","2","3",NA
"♪ But I come to get my money back"" ♪","Chapter Three The Pollywog","2","3",NA
"♪ And everybody say, Jack, don't you know ♪","Chapter Three The Pollywog","2","3",NA
"♪ You don't tug on Superman's cape You don't spit into the wind ♪","Chapter Three The Pollywog","2","3",NA
"♪ You don't pull the mask Off that old Lone Ranger ♪","Chapter Three The Pollywog","2","3",NA
"♪ And you don't mess around with Slim ♪","Chapter Three The Pollywog","2","3",NA
"[HOPPER] Give me those.","Chapter Three The Pollywog","2","3",NA
"Okay.","Chapter Three The Pollywog","2","3",NA
"Now, this is called a trip wire.","Chapter Three The Pollywog","2","3",NA
"It's like an alarm.","Chapter Three The Pollywog","2","3",NA
"You, uh, set it up like this.","Chapter Three The Pollywog","2","3",NA
"And then, anybody gets close,","Chapter Three The Pollywog","2","3",NA
"it's gonna make a loud noise like, uh, gunfire.","Chapter Three The Pollywog","2","3",NA
"Bang! [CHUCKLES]","Chapter Three The Pollywog","2","3",NA
"Those bad men aren't gonna find ya.","Chapter Three The Pollywog","2","3",NA
"All right? Not way the hell out here.","Chapter Three The Pollywog","2","3",NA
"We'll take some precautions.","Chapter Three The Pollywog","2","3",NA
"There's gonna be a couple ground rules.","Chapter Three The Pollywog","2","3",NA
"Rule number one:","Chapter Three The Pollywog","2","3",NA
"always keep the curtains drawn.","Chapter Three The Pollywog","2","3",NA
"Rule number two:","Chapter Three The Pollywog","2","3",NA
"only open the door if you hear my secret knock.","Chapter Three The Pollywog","2","3",NA
"And rule number three:","Chapter Three The Pollywog","2","3",NA
"don't ever go out alone, especially not in the daylight.","Chapter Three The Pollywog","2","3",NA
"That's it. Three rules.","Chapter Three The Pollywog","2","3",NA
"I call 'em the, uh...","Chapter Three The Pollywog","2","3",NA
"Don't Be Stupid Rules.","Chapter Three The Pollywog","2","3",NA
"'Cause we're not stupid.","Chapter Three The Pollywog","2","3",NA
"Right?","Chapter Three The Pollywog","2","3",NA
"Not stupid.","Chapter Three The Pollywog","2","3",NA
"[STEVE GRUNTS]","Chapter Three The Pollywog","2","3","Scene Description"
"Harrington, right?","Chapter Three The Pollywog","2","3",NA
"I heard you used to run this school. That true?","Chapter Three The Pollywog","2","3",NA
"King Steve, they used to call you, huh?","Chapter Three The Pollywog","2","3",NA
"Then you turned bitch.","Chapter Three The Pollywog","2","3",NA
"Hey, maybe you should just shut up and just play the game.","Chapter Three The Pollywog","2","3",NA
"Whoo!","Chapter Three The Pollywog","2","3",NA
"That's what I'm talking about! Whoo!","Chapter Three The Pollywog","2","3",NA
"[NANCY] Steve?","Chapter Three The Pollywog","2","3",NA
"What are you doing here?","Chapter Three The Pollywog","2","3",NA
"What do you think?","Chapter Three The Pollywog","2","3",NA
"Where were you this morning? I missed first period.","Chapter Three The Pollywog","2","3",NA
"I figured Jonathan would take you.","Chapter Three The Pollywog","2","3",NA
"Wha... What are you talking about?","Chapter Three The Pollywog","2","3",NA
"[SCOFFS] Jesus, you really can't handle your alcohol.","Chapter Three The Pollywog","2","3",NA
"Uh...","Chapter Three The Pollywog","2","3",NA
"You remember going to Tina's party last night, right?","Chapter Three The Pollywog","2","3",NA
"Yes.","Chapter Three The Pollywog","2","3",NA
"And then what?","Chapter Three The Pollywog","2","3",NA
"I remember dancing, and...","Chapter Three The Pollywog","2","3",NA
"spilling some punch.","Chapter Three The Pollywog","2","3",NA
"You got mad at me because I was drunk...","Chapter Three The Pollywog","2","3",NA
"and then you took me home.","Chapter Three The Pollywog","2","3",NA
"[SCOFFS]","Chapter Three The Pollywog","2","3","Scene Description"
"No, see, that's where your mind gets a little bit fuzzy.","Chapter Three The Pollywog","2","3",NA
"That was your other boyfriend. That was... That was Jonathan.","Chapter Three The Pollywog","2","3",NA
"I don't understand.","Chapter Three The Pollywog","2","3",NA
"It's pretty simple, Nancy.","Chapter Three The Pollywog","2","3",NA
"You were just telling it like it is.","Chapter Three The Pollywog","2","3",NA
"What?","Chapter Three The Pollywog","2","3",NA
"Uh...","Chapter Three The Pollywog","2","3",NA
"apparently, uh...","Chapter Three The Pollywog","2","3",NA
"we killed Barb and I don't care, 'cause I'm bullshit...","Chapter Three The Pollywog","2","3",NA
"and our whole... our whole relationship is bullshit, and...","Chapter Three The Pollywog","2","3",NA
"I mean, pretty much everything is just bullshit, bullshit, bullshit.","Chapter Three The Pollywog","2","3",NA
"Oh, yeah, also, you don't love me.","Chapter Three The Pollywog","2","3",NA
"I was drunk, Steve. I don't remember any of that.","Chapter Three The Pollywog","2","3",NA
"So that makes everything that you said... It's what? Just bullshit, too?","Chapter Three The Pollywog","2","3",NA
"Yes.","Chapter Three The Pollywog","2","3",NA
"Well, then tell me.","Chapter Three The Pollywog","2","3",NA
"Tell you what?","Chapter Three The Pollywog","2","3",NA
"You love me.","Chapter Three The Pollywog","2","3",NA
"Really?","Chapter Three The Pollywog","2","3",NA
"[DOOR BANGS]","Chapter Three The Pollywog","2","3","Scene Description"
"Harrington!","Chapter Three The Pollywog","2","3",NA
"Dude, we need you, man. That douchebag's killing us. Let's go!","Chapter Three The Pollywog","2","3",NA
"All right!","Chapter Three The Pollywog","2","3",NA
"Come on!","Chapter Three The Pollywog","2","3",NA
"I think that you're bullshit.","Chapter Three The Pollywog","2","3",NA
"[D'ARTAGNAN CHITTERING]","Chapter Three The Pollywog","2","3","Scene Description"
"[DUSTIN] His name is d'Artagnan.","Chapter Three The Pollywog","2","3",NA
"Cute, right?","Chapter Three The Pollywog","2","3",NA
"D'Artagnan?","Chapter Three The Pollywog","2","3",NA
"Dart for short.","Chapter Three The Pollywog","2","3",NA
"And he was in your trash?","Chapter Three The Pollywog","2","3",NA
"Foraging for food.","Chapter Three The Pollywog","2","3",NA
"You wanna hold him?","Chapter Three The Pollywog","2","3",NA
"No, no.","Chapter Three The Pollywog","2","3",NA
"He doesn't bite.","Chapter Three The Pollywog","2","3",NA
"I don't want to...","Chapter Three The Pollywog","2","3",NA
"Oh, God, he's slimy!","Chapter Three The Pollywog","2","3",NA
"Ugh, he's like a living booger.","Chapter Three The Pollywog","2","3",NA
"Ugh, oh, God!","Chapter Three The Pollywog","2","3",NA
"What is he?","Chapter Three The Pollywog","2","3",NA
"My question exactly.","Chapter Three The Pollywog","2","3",NA
"At first, I thought it was some type of pollywog.","Chapter Three The Pollywog","2","3",NA
"Pollywog?","Chapter Three The Pollywog","2","3",NA
"It's another word for tadpole.","Chapter Three The Pollywog","2","3",NA
"A tadpole is the larval stage of a toad.","Chapter Three The Pollywog","2","3",NA
"I know what a tadpole is.","Chapter Three The Pollywog","2","3",NA
"All right, then you know that most tadpoles are aquatic, right?","Chapter Three The Pollywog","2","3",NA
"Well, Dart, he isn't. He doesn't need water.","Chapter Three The Pollywog","2","3",NA
"Yeah, but aren't there nonaquatic pollywogs?","Chapter Three The Pollywog","2","3",NA
"Terrestrial pollywogs? Yep. Two to be exact.","Chapter Three The Pollywog","2","3",NA
"Indirana semipalmata.","Chapter Three The Pollywog","2","3",NA
"And the Adenomera andreae.","Chapter Three The Pollywog","2","3",NA
"One's from India, one's from South America.","Chapter Three The Pollywog","2","3",NA
"So how did one end up in my trash?","Chapter Three The Pollywog","2","3",NA
"Maybe some scientists brought it here, and it escaped?","Chapter Three The Pollywog","2","3",NA
"Do you guys see that?","Chapter Three The Pollywog","2","3",NA
"Looks like something is moving inside of it.","Chapter Three The Pollywog","2","3",NA
"[SCREECHES]","Chapter Three The Pollywog","2","3","Scene Description"
"[BOTH GASP]","Chapter Three The Pollywog","2","3","Scene Description"
"[DUSTIN] Whoa.","Chapter Three The Pollywog","2","3",NA
"It's okay. It's okay.","Chapter Three The Pollywog","2","3",NA
"I got you, little guy.","Chapter Three The Pollywog","2","3",NA
"[CHITTERING]","Chapter Three The Pollywog","2","3","Scene Description"
"I know you don't like that. It's okay.","Chapter Three The Pollywog","2","3",NA
"And there's another thing.","Chapter Three The Pollywog","2","3",NA
"Reptiles, they're cold-blooded. Ectothermic, right?","Chapter Three The Pollywog","2","3",NA
"They love heat, the sun. Dart hates it. It hurts him.","Chapter Three The Pollywog","2","3",NA
"So, if he's not a pollywog or a reptile...","Chapter Three The Pollywog","2","3",NA
"Then I've discovered a new species.","Chapter Three The Pollywog","2","3",NA
"[BELL RINGS]","Chapter Three The Pollywog","2","3","Scene Description"
"We gotta show him to Mr. Clarke.","Chapter Three The Pollywog","2","3",NA
"What if he steals my discovery?","Chapter Three The Pollywog","2","3",NA
"He's not gonna steal your discovery.","Chapter Three The Pollywog","2","3",NA
"You know, I'm thinking about calling it Dustonious pollywogus.","Chapter Three The Pollywog","2","3",NA
"What do you think?","Chapter Three The Pollywog","2","3",NA
"I think you're an idiot.","Chapter Three The Pollywog","2","3",NA
"When I become rich and famous for this one day,","Chapter Three The Pollywog","2","3",NA
"don't come crawling back, saying,","Chapter Three The Pollywog","2","3",NA
"""Oh, my God, Dustin, I'm so sorry for","Chapter Three The Pollywog","2","3",NA
"being mean to you back in 8th grade.","Chapter Three The Pollywog","2","3",NA
"Oh, my God.""","Chapter Three The Pollywog","2","3",NA
"Have a nice day.","Chapter Three The Pollywog","2","3",NA
"Thank you.","Chapter Three The Pollywog","2","3",NA
"Baloney?","Chapter Three The Pollywog","2","3",NA
"Mmm.","Chapter Three The Pollywog","2","3",NA
"Last night was fun.","Chapter Three The Pollywog","2","3",NA
"Mmm-hmm.","Chapter Three The Pollywog","2","3",NA
"I'm sorry if I overstepped anything.","Chapter Three The Pollywog","2","3",NA
"No! No, you didn't.","Chapter Three The Pollywog","2","3",NA
"Okay.","Chapter Three The Pollywog","2","3",NA
"I mean...","Chapter Three The Pollywog","2","3",NA
"I... I like you so much.","Chapter Three The Pollywog","2","3",NA
"Not just you, everything that comes with you.","Chapter Three The Pollywog","2","3",NA
"Your family, your boys.","Chapter Three The Pollywog","2","3",NA
"And I hope it's not wishful thinking, but...","Chapter Three The Pollywog","2","3",NA
"I kinda feel like I'm breaking through with them.","Chapter Three The Pollywog","2","3",NA
"Not so much Jonathan. He's a tough cookie to crack, but...","Chapter Three The Pollywog","2","3",NA
"Yeah.","Chapter Three The Pollywog","2","3",NA
"With Will, I don't know, I feel like we're connecting.","Chapter Three The Pollywog","2","3",NA
"He likes you, too.","Chapter Three The Pollywog","2","3",NA
"Yeah?","Chapter Three The Pollywog","2","3",NA
"Mmm-hmm.","Chapter Three The Pollywog","2","3",NA
"I can tell.","Chapter Three The Pollywog","2","3",NA
"Good.","Chapter Three The Pollywog","2","3",NA
"Oh, there was... something else I was gonna mention, but...","Chapter Three The Pollywog","2","3",NA
"It's not a big deal at all, but...","Chapter Three The Pollywog","2","3",NA
"I just noticed this morning that my JVC was a little dinged up.","Chapter Three The Pollywog","2","3",NA
"Your what?","Chapter Three The Pollywog","2","3",NA
"The video camera.","Chapter Three The Pollywog","2","3",NA
"Oh.","Chapter Three The Pollywog","2","3",NA
"Yeah.","Chapter Three The Pollywog","2","3",NA
"It still works fine and everything. I just...","Chapter Three The Pollywog","2","3",NA
"I went back and watched the tape...","Chapter Three The Pollywog","2","3",NA
"and there were some older kids picking on Will.","Chapter Three The Pollywog","2","3",NA
"What?","Chapter Three The Pollywog","2","3",NA
"They scared him.","Chapter Three The Pollywog","2","3",NA
"Who were they? Were they the Zimmerman brothers again?","Chapter Three The Pollywog","2","3",NA
"Um, I don't know.","Chapter Three The Pollywog","2","3",NA
"They were wearing masks or sort of makeup and...","Chapter Three The Pollywog","2","3",NA
"Maybe. They were the right age.","Chapter Three The Pollywog","2","3",NA
"I'll kill them.","Chapter Three The Pollywog","2","3",NA
"I swear to God, I will... I will kill them.","Chapter Three The Pollywog","2","3",NA
"That's what I love about you. You punch back.","Chapter Three The Pollywog","2","3",NA
"[CHUCKLES] I was never really one to put up a fight.","Chapter Three The Pollywog","2","3",NA
"I struggled a lot like Will when I was a kid.","Chapter Three The Pollywog","2","3",NA
"With bullies.","Chapter Three The Pollywog","2","3",NA
"[SIGHS] It's the ones like us, that don't punch back,","Chapter Three The Pollywog","2","3",NA
"that people really take advantage of, you know?","Chapter Three The Pollywog","2","3",NA
"They rub your nose in it, just a little bit more.","Chapter Three The Pollywog","2","3",NA
"I don't know why they do that.","Chapter Three The Pollywog","2","3",NA
"Maybe it makes them feel powerful.","Chapter Three The Pollywog","2","3",NA
"I don't know.","Chapter Three The Pollywog","2","3",NA
"But, hey, look at me now.","Chapter Three The Pollywog","2","3",NA
"I get to date Joyce Byers. Ha!","Chapter Three The Pollywog","2","3",NA
"[CHUCKLES]","Chapter Three The Pollywog","2","3","Scene Description"
"Are you kidding me? I get to date...","Chapter Three The Pollywog","2","3",NA
"It all works out in the end, doesn't it?","Chapter Three The Pollywog","2","3",NA
"Yes, it does.","Chapter Three The Pollywog","2","3",NA
"[HOPPER] Grass, crops, trees.","Chapter Three The Pollywog","2","3",NA
"Everything in this area is either dead or dying,","Chapter Three The Pollywog","2","3",NA
"and that's a radius of over three miles.","Chapter Three The Pollywog","2","3",NA
"And it all leads back to here.","Chapter Three The Pollywog","2","3",NA
"See, these patterns here are really pretty. I like the design.","Chapter Three The Pollywog","2","3",NA
"It's almost psychedelic.","Chapter Three The Pollywog","2","3",NA
"This is a joke to you, huh?","Chapter Three The Pollywog","2","3",NA
"No, it's not a joke. I just...","Chapter Three The Pollywog","2","3",NA
"I don't understand what this has to do with me, Chief Hopper.","Chapter Three The Pollywog","2","3",NA
"Whatever is happening is spreading from this place, from this lab.","Chapter Three The Pollywog","2","3",NA
"That's impossible. It's... The last burn was two days ago.","Chapter Three The Pollywog","2","3",NA
"It's contained.","Chapter Three The Pollywog","2","3",NA
"What if there's a leak?","Chapter Three The Pollywog","2","3",NA
"A leak? [SCOFFS]","Chapter Three The Pollywog","2","3",NA
"I don't know, man. You're the scientist.","Chapter Three The Pollywog","2","3",NA
"Exactly.","Chapter Three The Pollywog","2","3",NA
"And I'm telling you there's nothing to worry about.","Chapter Three The Pollywog","2","3",NA
"Convince me.","Chapter Three The Pollywog","2","3",NA
"Convince you?","Chapter Three The Pollywog","2","3",NA
"Yeah. You and your egghead friends","Chapter Three The Pollywog","2","3",NA
"go out there to every area on this map and you run your tests,","Chapter Three The Pollywog","2","3",NA
"or whatever the hell it is you do, and you see if anything comes up.","Chapter Three The Pollywog","2","3",NA
"[SCOFFS] All right, so...","Chapter Three The Pollywog","2","3",NA
"So you're... you're giving me orders now?","Chapter Three The Pollywog","2","3",NA
"No.","Chapter Three The Pollywog","2","3",NA
"I keep things nice and quiet for you...","Chapter Three The Pollywog","2","3",NA
"Mmm-hmm.","Chapter Three The Pollywog","2","3",NA
"And you keep your shit out of my town.","Chapter Three The Pollywog","2","3",NA
"That is the deal.","Chapter Three The Pollywog","2","3",NA
"I have done my part, now you do yours.","Chapter Three The Pollywog","2","3",NA
"Convince me.","Chapter Three The Pollywog","2","3",NA
"So, he asked you to take me home?","Chapter Three The Pollywog","2","3",NA
"Yeah.","Chapter Three The Pollywog","2","3",NA
"Yeah, he was upset.","Chapter Three The Pollywog","2","3",NA
"I mean, he was... He was really upset.","Chapter Three The Pollywog","2","3",NA
"But he was still worried about you.","Chapter Three The Pollywog","2","3",NA
"Hey.","Chapter Three The Pollywog","2","3",NA
"You need to cut yourself some slack, okay?","Chapter Three The Pollywog","2","3",NA
"People say stupid things when they're wasted.","Chapter Three The Pollywog","2","3",NA
"Things they don't mean.","Chapter Three The Pollywog","2","3",NA
"Yeah, but that's the thing.","Chapter Three The Pollywog","2","3",NA
"What if I did mean it?","Chapter Three The Pollywog","2","3",NA
"All this time, I've been trying so","Chapter Three The Pollywog","2","3",NA
"hard to pretend like everything's fine,","Chapter Three The Pollywog","2","3",NA
"but it's not.","Chapter Three The Pollywog","2","3",NA
"I... I feel like there's this...","Chapter Three The Pollywog","2","3",NA
"I don't know, like this...","Chapter Three The Pollywog","2","3",NA
"Like there's this weight you're carrying around with you.","Chapter Three The Pollywog","2","3",NA
"All the time.","Chapter Three The Pollywog","2","3",NA
"I feel it, too.","Chapter Three The Pollywog","2","3",NA
"Yeah, but it's different for you.","Chapter Three The Pollywog","2","3",NA
"Will came home.","Chapter Three The Pollywog","2","3",NA
"Yeah.","Chapter Three The Pollywog","2","3",NA
"Yeah, he did.","Chapter Three The Pollywog","2","3",NA
"But he's not the same.","Chapter Three The Pollywog","2","3",NA
"I try to be there for him, you know, to help him, but...","Chapter Three The Pollywog","2","3",NA
"[SIGHS] I don't know.","Chapter Three The Pollywog","2","3",NA
"I mean, maybe...","Chapter Three The Pollywog","2","3",NA
"maybe things just can't go back to the way they were.","Chapter Three The Pollywog","2","3",NA
"Doesn't that make you mad?","Chapter Three The Pollywog","2","3",NA
"Mad?","Chapter Three The Pollywog","2","3",NA
"Yeah, that those... those people who did this,","Chapter Three The Pollywog","2","3",NA
"who ruined so many lives, they just get away with it.","Chapter Three The Pollywog","2","3",NA
"The people responsible for this...","Chapter Three The Pollywog","2","3",NA
"they're dead.","Chapter Three The Pollywog","2","3",NA
"Do you really believe that?","Chapter Three The Pollywog","2","3",NA
"[ROCK SONG PLAYING OVER HEADPHONES]","Chapter Three The Pollywog","2","3","Scene Description"
"Your mom's boyfriend.","Chapter Three The Pollywog","2","3",NA
"He works at RadioShack, right?","Chapter Three The Pollywog","2","3",NA
"Yeah.","Chapter Three The Pollywog","2","3",NA
"Why?","Chapter Three The Pollywog","2","3",NA
"What are you thinking?","Chapter Three The Pollywog","2","3",NA
"Do you wanna skip fourth period?","Chapter Three The Pollywog","2","3",NA
"[WOMAN LAUGHING] Isn't this fun?","Chapter Three The Pollywog","2","3",NA
"[CONTINUES LAUGHING]","Chapter Three The Pollywog","2","3","Scene Description"
"[CONTINUES LAUGHING] Pump your feet.","Chapter Three The Pollywog","2","3",NA
"[HOPPER] ""I would feel so sad if I thought I was a disappointment to her...","Chapter Three The Pollywog","2","3",NA
"because she didn't live very long after that, you see.","Chapter Three The Pollywog","2","3",NA
"She died of a fever when I was just three months old.","Chapter Three The Pollywog","2","3",NA
"I do wish she'd lived long enough for me to remember calling her mother.","Chapter Three The Pollywog","2","3",NA
"I think it would be so sweet to say 'mother.'""","Chapter Three The Pollywog","2","3",NA
"Do I have a mother?","Chapter Three The Pollywog","2","3",NA
"Yeah, of course you have a mother.","Chapter Three The Pollywog","2","3",NA
"You couldn't really be born without one.","Chapter Three The Pollywog","2","3",NA
"Where is she?","Chapter Three The Pollywog","2","3",NA
"She...","Chapter Three The Pollywog","2","3",NA
"She's not around anymore.","Chapter Three The Pollywog","2","3",NA
"Gone?","Chapter Three The Pollywog","2","3",NA
"Yeah.","Chapter Three The Pollywog","2","3",NA
"I'm sorry about that, kid.","Chapter Three The Pollywog","2","3",NA
"""And, uh, father died four days afterwards from fever, too.","Chapter Three The Pollywog","2","3",NA
